age,gender,nchars
17,female,1819557
17,female,772691
17,male,701858
17,female,24201
17,female,1551621
17,female,929241
17,female,852227
17,female,745641
17,female,693437
17,female,1305862
17,female,87516
17,female,285237
17,female,804183
17,female,733615
17,female,996942
17,female,190625
17,female,2626933
17,female,1496594
17,female,1567622
17,female,653301
17,female,1996803
17,female,196557
17,male,75614
17,female,2488509
17,female,1094668
17,male,875444
17,female,1187255
17,female,444760
17,female,512098
17,female,17106
17,female,2678574
17,female,1316847
17,male,670248
17,female,747330
17,female,678048
17,female,761541
17,female,662023
17,female,694821
17,female,798425
17,female,422338
17,female,1235013
17,female,792431
17,female,565405
17,female,1506577
17,female,23598
17,female,233596
17,female,689598
17,female,669373
17,female,1560484
17,female,318052
17,female,1249140
17,female,96366
17,female,15038
17,female,3009987
17,female,148968
17,female,1919288
17,female,2429636
17,female,770037
17,female,1106106
17,female,412563
17,female,326901
17,female,1037326
17,female,1687661
17,female,536714
17,female,403452
17,female,87579
17,female,738136
17,female,1954509
17,female,437658
17,female,261952
17,female,1025632
17,female,435881
17,female,2095503
17,female,13871
17,male,639723
17,female,597368
17,female,1190849
17,female,49881
17,female,1179013
17,female,1038776
17,female,927100
17,female,449429
17,female,430491
17,female,2202095
17,female,564086
17,female,3531529
17,female,439418
17,female,129154
17,female,424780
17,female,1612642
17,female,127343
17,male,57590
17,female,668930
17,female,561835
17,female,49478
17,female,193055
17,female,1324395
17,female,2323306
17,female,658617
17,female,69885
17,female,831927
17,female,321673
17,male,294474
17,female,188644
17,female,910565
17,female,5246862
17,female,254719
17,female,306233
17,female,1831767
17,female,524174
17,female,827448
17,female,871453
17,female,876868
17,female,92741
17,female,240784
17,female,279243
17,female,2683907
17,female,912020
17,female,517454
17,female,333760
17,female,1399031
17,female,229166
17,female,947723
17,female,703640
17,female,354122
17,male,245297
17,female,2190322
17,female,1539803
17,female,458196
17,female,4429413
17,female,3432005
17,female,748045
17,female,57247
17,female,1000135
17,female,41328
17,female,501344
17,female,475357
17,female,4637598
17,female,264015
17,female,1303448
17,female,1595080
17,female,1300961
17,female,308870
17,female,15134
17,female,1943237
17,female,570101
17,female,1019289
17,female,797485
17,female,552316
17,female,1988867
17,female,196088
17,female,349623
17,female,1641037
17,female,81433
17,male,1234394
17,female,278920
17,female,1446790
17,female,1120065
17,female,640188
17,female,1170597
17,female,1507993
17,female,2550429
17,female,690650
17,female,558656
17,female,1510924
17,female,688121
17,female,85777
17,female,1255650
17,female,4235164
17,female,390701
17,female,99830
17,female,185477
17,female,2052627
17,female,1300916
17,female,1933545
17,female,1774746
17,female,100967
17,male,747643
17,female,300388
17,female,689602
17,female,277817
17,female,1646489
17,female,513999
17,female,786
17,female,501745
17,female,1516514
17,female,905046
17,female,1186257
17,female,3483052
17,female,251035
17,female,1305783
17,male,2050428
17,female,1942762
17,male,215540
17,male,253209
17,female,1049765
17,female,150140
17,female,733362
17,female,1279267
17,female,189100
17,female,2335820
17,female,796274
17,female,741074
17,female,1785588
17,female,369768
17,female,182049
17,female,807442
17,female,1015347
17,female,1922804
17,female,2272917
17,female,578996
17,female,406813
16,male,1397250
16,female,1067604
16,female,324068
16,female,883769
16,female,82393
16,female,2967311
16,female,1749898
16,female,314631
16,female,383116
16,female,272032
16,male,350856
16,female,535008
16,female,1190771
16,female,1484249
16,female,923882
16,female,1011933
16,female,920928
16,female,503013
16,female,1037616
16,female,1775074
16,female,1196932
16,male,564970
16,female,1187843
16,female,4043250
16,female,456841
16,female,195083
16,female,1457811
16,female,1252564
16,female,533946
16,female,124208
16,female,96062
16,female,1116449
16,female,1347943
16,female,813558
16,female,2098225
16,female,390897
16,female,761490
16,female,635237
16,female,811645
16,female,1313357
16,female,1207448
16,male,1010849
16,female,1187034
16,female,710251
16,female,1919558
16,female,833389
16,female,199836
16,female,1123022
16,female,1003607
16,female,916791
16,female,756071
16,female,1061780
16,female,5570444
16,female,417222
16,female,607155
16,female,313671
16,female,646817
16,female,1268649
16,female,2369522
16,female,3817571
16,female,199153
16,female,715569
16,female,942439
16,female,286183
16,female,903541
16,female,788086
16,female,273771
16,female,1228574
16,female,776517
16,female,49411
16,female,81856
16,female,184267
16,female,902596
16,female,1331609
16,female,12198
16,female,2141455
16,female,1121061
16,male,171599
16,female,280313
16,female,906134
16,female,1221941
16,female,2736261
16,female,7830
16,female,1043871
16,female,13054
16,female,901113
16,female,580167
16,female,2633621
16,female,936325
16,male,472925
16,female,3339169
16,female,172346
16,female,687920
16,female,61876
16,female,635561
16,female,1471683
16,male,566570
16,female,692593
16,female,689549
16,female,305634
16,male,3901864
16,female,588605
16,female,17411
16,female,466
16,female,516325
16,female,1245096
16,female,2140107
16,female,736214
16,female,1337991
16,female,1315816
16,female,956891
16,female,292400
16,female,1911654
16,female,202593
16,female,1245568
16,female,1199033
16,female,158339
16,female,590066
16,female,635033
16,female,826338
16,female,1733470
16,female,1058762
16,female,5580323
16,female,31968
16,female,950349
16,female,567890
16,female,453346
16,female,1113932
16,female,100688
16,male,160619
16,female,485811
16,female,888912
16,female,278355
16,female,477303
16,female,700683
16,female,281588
16,female,1052087
16,female,827473
16,male,1115024
16,male,406340
16,female,354276
16,female,1207691
16,female,1189094
16,female,330620
16,female,2439101
16,female,1105082
16,female,46262
16,female,2000329
16,female,315103
16,female,585854
16,female,1464955
16,female,1281005
16,female,1333650
16,female,1741569
16,female,95101
16,female,18700
16,female,770216
16,female,536567
16,female,425304
16,female,2001119
16,female,1487939
16,male,378955
16,female,280283
16,female,507004
16,female,327456
16,female,1031230
16,female,767175
16,female,718833
16,female,671172
16,female,50368
16,male,219149
16,female,3465036
16,female,3389511
16,female,2907658
16,female,924992
16,female,2316710
16,female,789680
16,female,921665
16,female,76047
16,female,748091
16,female,475817
16,female,199513
16,female,1123752
16,female,3331090
16,female,576514
16,female,778998
16,female,707097
15,female,392420
15,female,1581077
15,female,440313
15,female,233537
15,female,919471
15,female,118710
15,female,1250231
15,female,902286
15,male,79274
15,female,218668
15,male,149276
15,female,515596
15,female,1870772
15,female,448090
15,female,320507
15,female,230726
15,female,277196
15,female,92518
15,female,1532600
15,female,895758
15,female,378986
15,male,9234
15,female,468151
15,male,60373
15,female,3108
15,female,19051
15,female,71714
15,female,1168390
15,female,2574650
15,female,549066
15,female,8614241
15,female,2022754
15,female,2066
15,female,870420
15,female,235976
15,female,622451
15,female,2085104
15,female,752236
15,female,912038
15,male,100174
15,female,812792
15,female,575356
15,female,107476
15,female,712102
15,female,296001
15,female,904049
15,female,1540633
15,female,646331
15,female,208235
15,female,1621526
15,female,465004
15,female,861542
15,female,2802768
15,female,586325
15,female,578180
15,female,798971
15,female,90375
15,female,1701187
15,female,277527
15,female,1164979
15,female,1566283
15,female,2086052
15,female,2090436
15,female,509132
15,female,2152484
15,female,2587580
15,female,1269507
14,female,437391
14,female,166816
14,female,1582227
14,female,190884
14,female,30043
14,female,263757
14,female,140789
14,female,1528583
14,female,330238
14,female,10350
14,female,315597
14,female,396192
14,female,627111
14,female,1649304
14,female,441621
14,female,152427
14,female,1335232
14,female,210421
13,female,1721789
13,female,3435824
13,female,262415
13,female,1261532
